;"GSR.2236";"BP.2236";"VAS.2236"
"1";3.216065;86.5491;-0.02228
"2";6.29715666666667;54.8174;-0.021335
"3";7.151555;44.8496;-0.0242483333333333
"4";9.19754666666667;19.6436;-0.02389
"5";10.8750883333333;29.7292;-0.0237933333333333
"6";12.723595;21.1634;-0.02256
"7";14.1892366666667;0.00500000000000115;-0.022895
"8";15.85037;2.06;-0.0240816666666667
"9";16.846455;4.0829;-0.259335
"10";18.02542;6.9776;-0.449318333333333
"11";19.4796566666667;10.6706;-0.445378333333333
"12";20.2486154929577;5.0356;-0.0987845070422535
"13";20.6655316666667;15.9423;-0.02184
"14";21.62336;-0.5376;-0.023255
"15";22.35448;6.9978;-0.0231683333333333
"16";23.46389;-6.17;-0.0231716666666667
"17";23.4658616666667;8.3155;-0.023165
"18";23.2035966666667;15.6565;-0.0240516666666667
"19";25.24859;-3.5937;-0.024
"20";24.48964;11.2478;-0.291466666666667
"21";23.7861916666667;8.9418;-0.433701666666667
"22";24.05244;5.0282;-0.430836666666667
"23";25.703515;3.3262;-0.42672
"24";26.6640283333333;3.3085;-0.423785
"25";27.1947466666667;-10.6614;-0.423275
"26";26.5269316666667;9.2123;-0.467083333333333
"27";24.880195;-7.9729;-0.488065
"28";23.4664883333333;-23.8797;-0.486685
"29";26.5788566666667;-4.0567;-0.459971666666667
"30";25.0216483333333;1.2473;-0.295808333333333
"31";25.7246033333333;6.082;-0.503325
"32";26.8962033333333;-11.89;-0.509178333333333
"33";27.8998816666667;3.7511;-0.525523333333333
"34";28.4186116666667;-0.3408;-0.53125
"35";28.9328383333333;1.5983;-0.540588333333333
"36";29.422785;-3.0143;-0.56103
"37";31.056975;3.4507;-0.562096666666667
"38";31.9469816666667;2.2739;-0.583513333333333
"39";32.2433133333333;8.8129;-0.610253333333333
"40";34.15049;-3.4386;-0.608886666666667
"41";34.7174716666667;5.6433;-0.683255
"42";34.4945233333333;-4.5988;-0.726958333333333
"43";34.5266816666667;-7.0996;-0.821881666666667
"44";34.0005266666667;-1.7906;-0.875745
"45";33.977925;5.1501;-0.8737375
