"Pp.No","Block","Real","Accurate","Truth","Fake","Lies","Inaccurate","Conventional","Pills","Cream","Injections","Nurse","Doctor","Pharmacist","Medicine","Alternative","Acupuncture","Reiki.Master","Acupuncturist","Reiki","Flower.essence","Homeopathy","Homeopathist","ConvReal","ConvFake","AltReal","AltFake","IATScoreConv","IATScoreAlt"
1,1,677.5,797,1262,1212,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
1,2,"NA","NA","NA","NA","NA","NA","NA",2073,"NA","NA",599,1571,925,"NA","NA","NA","NA",1489,1494,"NA","NA","NA","NA","NA","NA","NA","NA","NA"
1,3,736,"NA",795,1626,"NA",1198,"NA","NA",673,"NA","NA",3409,,"NA","NA","NA","NA",1229.5,"NA","NA","NA","NA",2041,"NA","NA",1635.25,803.75,"NA"
1,4,1193,5796.5,1676.5,,918.5,1560,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
1,5,967,"NA",1261.5,1600.5,1332,2165.33,"NA",1251,878,998,1822,"NA","NA","NA","NA","NA","NA",1826,864,"NA",1048,"NA","NA",1237.25,1246,"NA","NA",-389.25
2,1,712.5,761,,935,"NA",843.33,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
2,2,"NA","NA","NA","NA","NA","NA",1187,"NA",783,951,"NA",1028,"NA","NA",1042,891,964,"NA","NA","NA",1761,"NA","NA","NA","NA","NA","NA","NA"
2,3,1398,1344.67,1134,1882,,1728.75,"NA","NA","NA",837,"NA","NA",2098,"NA",1744,1625,"NA","NA","NA",828.5,1336,910,1467.5,"NA","NA",1164.5,-403.75,"NA"
2,4,1238,1303,"NA","NA",1372.67,1052,2815,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
2,5,1555,"NA",2018,952.67,1923,1513.5,"NA","NA",3101,1722,"NA","NA",1205,1457,1600,1352,"NA",959,,1156,995,763,"NA",1871.25,1137.5,"NA","NA",-733.75
3,1,3836,1715.67,2179.5,1453,1708,1702.33,"NA","NA","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
3,2,"NA","NA","NA","NA","NA","NA",1329,1093.5,1859,"NA","NA","NA",1511,"NA",1792.5,1226,"NA",1703.5,1007,"NA","NA",1272,"NA","NA","NA","NA","NA","NA"
3,3,2121,2647.5,4638,1318.5,1577.5,"NA",2528,"NA","NA",2644,1171,"NA","NA",2084,1715,1638.5,975,"NA",1418,1636,"NA",1264,2106.75,"NA","NA",1441.08,665.67,"NA"
3,4,1799.33,2572.5,1255,2153,923,2502.25,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
3,5,1378.5,1497,2513.5,1275.33,1126,1430,1730,1073,"NA",990,3399,1335,,3511,1751.5,,"NA","NA","NA","NA",4364,1126,"NA",2006.33,2413.83,"NA","NA",407.5
4,1,1741.25,,10545,1964.75,5127,17233.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
4,2,"NA","NA","NA","NA","NA","NA",2562,"NA","NA",1732,"NA",3763,"NA",3738,3353,,1993,3094,1288,"NA",1915,1442,"NA","NA","NA","NA","NA","NA"
4,3,1248,3843.33,2712.67,,1534.5,14548,3116,"NA","NA","NA",1293.5,"NA","NA",1232,,3328,977,"NA","NA","NA",1636,"NA",1880.5,"NA","NA",1980.33,"NA","NA"
4,4,927,1803,3469,,1403.33,2309,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
4,5,2856.33,3457.5,1698.5,1248.5,1126,2069,2211,1100,"NA",918,"NA","NA","NA","NA",841,3894,1894,2412.5,"NA","NA","NA",1814.5,"NA",1409.67,2171.2,,470.83,761.53
5,1,2330,1945,1295,1035.67,1556,1550,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
5,2,"NA","NA","NA","NA","NA","NA",2460,"NA",1901,1305,"NA",1136,1407,6346.5,,,2226.5,"NA",838,1320,1601,"NA","NA","NA","NA","NA","NA","NA"
5,3,715,1521,1334.75,1701,1953,1850,"NA","NA",1901.5,1710,"NA",1146,1224,"NA",3957,2805,"NA","NA",1236,1272,2464,"NA",1495.38,"NA","NA",2346.8,-851.43,"NA"
5,4,1767,1302,1143,2446.33,1667.5,3193,"NA","NA","NA","NA","NA","NA","NA","NA",,,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
5,5,1858,1769,1861,1703,1495,2697.33,2349,3878.5,"NA",4679,1188,"NA",2048,1142,3206.5,2534.67,1134.5,1578,"NA","NA","NA",2321,"NA",2547.42,2154.93,"NA","NA",-392.48
